datetime,tel_no,bizplc_nm,SVC_1_NM,SVC_2_NM,meta_info,user_comm
2022-02-18 6:04,010-0070-7107,여행박사,여행,투어,여행,3
2022-01-02 20:36,010-0070-7107,트립어드바이저,여행,투어,여행,3
2022-03-12 23:09,010-0972-1679,라라골프,골프웨어,골프,스포츠,1
2022-03-13 9:16,010-0972-1679,루키루키,골프웨어,골프,스포츠,1
2022-01-25 4:39,010-0972-1679,카카오페이,결제,페이서비스,의류쇼핑,1
2022-02-25 11:49,010-0972-1679,ShipTrack,운송,화물운송,의류쇼핑,1
2022-03-28 13:56,010-0661-6970,버디핏,골프웨어,골프,스포츠,4
2022-01-24 12:05,010-0661-6970,CJ대한통운,운송,화물운송,의류쇼핑,4
2022-01-27 15:34,010-0661-6970,SSG,운송,화물운송,의류쇼핑,4
2022-01-18 23:24,010-0031-6689,호텔스닷컴,여행,숙박,여행,3
2022-03-15 14:26,010-0185-6525,SIVILLAGE,패션의류,여성의류,의류쇼핑,0
2022-02-10 18:37,010-0185-6525,놈시크,패션의류,남성의류,의류쇼핑,0
2022-01-08 13:34,010-0185-6525,맨즈그라운드,패션의류,남성의류,의류쇼핑,0
2022-02-25 15:30,010-0185-6525,네이버페이,결제,페이서비스,의류쇼핑,0
2022-02-13 12:20,010-0830-5353,루키루키,골프웨어,골프,스포츠,4
2022-01-23 23:37,010-0830-5353,럭스골프,골프웨어,골프,스포츠,4
2022-03-14 5:43,010-0830-5353,체스골프,골프웨어,골프,스포츠,4
2022-03-11 7:18,010-0830-5353,SSG,운송,화물운송,의류쇼핑,4
2022-02-13 15:46,010-0830-5353,ShipTrack,운송,화물운송,의류쇼핑,4
2022-03-25 20:42,010-9161-7495,대한민국 구석구석,여행,투어,여행,3
2022-02-19 9:49,010-9161-7495,여행박사,여행,투어,여행,3
2022-03-28 21:24,010-7286-5653,딜팡,골프웨어,골프,스포츠,1
2022-03-20 8:02,010-7286-5653,루키루키,골프웨어,골프,스포츠,1
2022-03-20 16:09,010-7286-5653,딜팡,골프웨어,골프,스포츠,1
2022-03-10 10:45,010-7286-5653,국민카드,카드,카드,의류쇼핑,1
2022-01-10 17:59,010-1673-8339,대한항공,항공사,항공,여행,2
